,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.",ru_multilingual_blimp_correct_affected.test,30827.828125,11231.3330078125,3685.3017578125,3099.13232421875,2678.20458984375,2255.693603515625,1934.5865478515625,1550.6778564453125,1431.8575439453125,1477.5386962890625,1546.65478515625,1544.70166015625,1541.6353759765625
1,В противном случае я вам этого не гарантирую.,ru_multilingual_blimp_correct_affected.test,33110.796875,1946.160400390625,480.5303955078125,249.7471923828125,157.8274688720703,128.802001953125,113.74078369140625,66.0224838256836,56.44558334350586,61.84235382080078,57.53894805908203,66.61951446533203,59.396209716796875
2,"Я, думалось мне, являюсь типичным представителем научной среды.",ru_multilingual_blimp_correct_affected.test,40385.91796875,26564.80859375,11583.853515625,5573.64208984375,4718.650390625,4820.880859375,4616.9892578125,4451.5927734375,5447.80029296875,6478.888671875,5363.140625,5785.01318359375,6190.72998046875
3,"Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.",ru_multilingual_blimp_correct_affected.test,37468.9609375,11753.892578125,6809.61474609375,3300.47900390625,2712.041748046875,1869.2806396484375,1671.2691650390625,1667.04833984375,1416.6634521484375,1340.2156982421875,1473.716552734375,1368.2374267578125,1506.1483154296875
4,"Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!",ru_multilingual_blimp_correct_affected.test,30352.31640625,6376.380859375,3727.782958984375,2672.06640625,1916.69140625,1491.23388671875,1816.9564208984375,2010.09814453125,1731.3990478515625,1866.529296875,2143.339111328125,2204.9794921875,2185.46484375
5,"Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз"".",ru_multilingual_blimp_correct_affected.test,41508.1484375,8380.2998046875,7404.7705078125,4728.77294921875,3018.188720703125,2916.7431640625,3666.550048828125,3616.64892578125,3750.44775390625,3114.515869140625,3600.302490234375,3153.95556640625,3253.992431640625
6,"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет.",ru_multilingual_blimp_correct_affected.test,37056.27734375,9075.2568359375,4012.0673828125,3571.293701171875,3368.76708984375,2390.5419921875,2212.72607421875,2182.353271484375,2341.204833984375,2551.632568359375,2662.595947265625,2943.16943359375,3010.257568359375
7,"Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.",ru_multilingual_blimp_correct_affected.test,35061.03515625,8502.2509765625,10127.048828125,7672.05810546875,8561.19140625,4990.86083984375,4318.7978515625,3717.434326171875,3165.551025390625,3819.385009765625,3383.042236328125,3585.39794921875,3541.218017578125
8,Я тебя уму-разуму научу.,ru_multilingual_blimp_correct_affected.test,25997.01953125,2102.56591796875,2901.358154296875,1750.34521484375,2187.154541015625,1849.6907958984375,2232.821533203125,2510.412353515625,1858.1224365234375,2010.746337890625,2208.252685546875,3205.466064453125,2767.00146484375
9,"Я ее не сторожу, - не оборачиваясь ответила Виктория.",ru_multilingual_blimp_correct_affected.test,34732.66015625,11555.3876953125,4240.51806640625,2114.963134765625,1707.517333984375,1318.3402099609375,1469.0634765625,1192.375244140625,1234.3302001953125,1369.1068115234375,1356.7445068359375,1138.1109619140625,1094.683837890625
10,"Типо, давай я тебе хотя бы проституток красивых вызову))",ru_multilingual_blimp_correct_affected.test,29501.580078125,8093.52294921875,8024.322265625,7746.3720703125,7549.98828125,7356.541015625,9629.388671875,8788.0166015625,8156.22314453125,9500.13671875,8765.2998046875,10005.9736328125,10089.6455078125
11,"Мы их быстро отсекаем, как и всех, кто хочет идти к больным с миссией, а не с желанием поддержать и служить пациенту.",ru_multilingual_blimp_correct_affected.test,37651.82421875,3773.646240234375,1918.0601806640625,1271.106689453125,1034.7928466796875,973.8200073242188,1107.624755859375,950.2288208007812,881.0380249023438,1102.14697265625,1312.1395263671875,1335.526123046875,1325.137451171875
12,"Они думали, что я им какой-то роман пересказываю.",ru_multilingual_blimp_correct_affected.test,28750.4296875,2121.87939453125,851.2099609375,556.4464721679688,514.0431518554688,453.11138916015625,502.3475341796875,485.9877624511719,482.01519775390625,521.0594482421875,620.2510375976562,576.8499145507812,590.36083984375
13,"Она писала, что я ей нравлюсь, но как друг, потом она мне написала, что я ей тоже нравлюсь, но со мной она быть не может и не знает почему.",ru_multilingual_blimp_correct_affected.test,33696.45703125,2720.378662109375,1582.4683837890625,1229.4698486328125,1018.4758911132812,854.2160034179688,626.7379150390625,573.0664672851562,511.3329772949219,569.3993530273438,519.4771728515625,525.841552734375,512.0481567382812
14,"И что же - ждать, пока мы до него ""дорастем""?",ru_multilingual_blimp_correct_affected.test,38616.23828125,2158.693603515625,4809.873046875,4771.06787109375,5039.689453125,3041.31494140625,2620.371337890625,2544.733154296875,2957.95458984375,3231.20458984375,3778.2587890625,3601.14404296875,3663.736328125
15,"Мы с ним почти не разговариваем, но от общих друзей я знаю, что он замкнулся в себе, начал выпивать и сильно изменился.",ru_multilingual_blimp_correct_affected.test,32265.96484375,3078.303955078125,1590.26953125,1162.2716064453125,1051.5972900390625,741.2955932617188,852.5858154296875,715.3865356445312,850.8853149414062,899.970947265625,926.3932495117188,951.46337890625,987.7448120117188
16,"""Я тебе и так отвечу, не тратя денег на опрос.",ru_multilingual_blimp_correct_affected.test,34647.2421875,1744.2896728515625,2179.071533203125,1844.7916259765625,1983.5845947265625,1747.1649169921875,1107.4097900390625,1010.1318969726562,977.1597900390625,856.2387084960938,1066.83154296875,1103.1749267578125,1061.8699951171875
17,"Ему на это ответили: скажи спасибо, что мы тебя в штрафбат не посылаем, - и вернули на фронт солдатом.",ru_multilingual_blimp_correct_affected.test,39982.8046875,3336.277099609375,2770.770751953125,2479.0068359375,3145.74609375,2235.905029296875,2372.04052734375,2627.157470703125,2347.172607421875,2477.576904296875,2807.63916015625,2920.48681640625,3103.0185546875
18,раньше кот Тихон я его как увидел зову тихоня = оставались одни,ru_multilingual_blimp_correct_affected.test,37552.2421875,9618.5849609375,7261.6318359375,6277.7099609375,5711.4404296875,5139.20166015625,7276.39794921875,9005.517578125,9527.58203125,12265.8896484375,14380.7880859375,17308.123046875,19892.935546875
19,Я пошел жаловаться отцу на что он мне ответил я с тобой вечером поговорю.,ru_multilingual_blimp_correct_affected.test,27392.1796875,2925.24072265625,1759.9295654296875,1173.841064453125,1084.990966796875,951.1222534179688,942.63037109375,981.0652465820312,1261.411376953125,1318.2188720703125,1211.9732666015625,1133.0555419921875,1271.739501953125
20,"Мне это напоминает анекдот: ""Научитесь прыгать с вышки, а потом мы вам воду нальем в бассейн"".",ru_multilingual_blimp_correct_affected.test,37856.078125,4279.08740234375,3818.073974609375,2538.37451171875,1668.10498046875,1725.224609375,2018.257080078125,1658.7669677734375,1501.0018310546875,1479.458984375,1597.725830078125,1410.688232421875,1498.6318359375
21,"- А я ее палкой ударю! - грозно сказала Вика, и Гаянэ в этом не усомнилась.",ru_multilingual_blimp_correct_affected.test,32366.744140625,3105.51123046875,2133.01220703125,1683.080322265625,1892.9671630859375,1712.7705078125,1630.9381103515625,1656.9400634765625,1662.2794189453125,1851.3760986328125,1649.767333984375,1808.4088134765625,1854.2015380859375
22,"Сам новичок, поэтому особо не разбираюсь.",ru_multilingual_blimp_correct_affected.test,37987.4296875,7026.22412109375,5002.23046875,3192.549072265625,2229.62158203125,1995.70458984375,1794.353759765625,1683.5001220703125,1877.6905517578125,1962.744384765625,2171.19091796875,2463.56640625,2407.555908203125
