,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Yes, lovely creature, is n't she?",en_multilingual_blimp_correct_affected.test,45833.69140625,16680.716796875,70939.6171875,54870.9765625,37542.64453125,62819.35546875,73131.3984375,75980.6171875,67497.7265625,175722.296875,89416.125,207423.21875,165486.28125
1,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,64719.26171875,1072.8363037109375,817.9692993164062,383.8358154296875,399.293212890625,316.99359130859375,208.1082763671875,245.25567626953125,198.42921447753906,243.94459533691406,221.7687530517578,188.22276306152344,191.40382385253906
2,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,59986.390625,821.793212890625,878.4899291992188,927.780517578125,844.4996337890625,839.3380737304688,813.6920166015625,860.412109375,854.7012329101562,733.3925170898438,1152.6170654296875,1038.3218994140625,2413.832275390625
3,This is whale meat that I photographed in a grocery store in Tokyo - or is it?,en_multilingual_blimp_correct_affected.test,66199.96875,1424.9639892578125,852.1224365234375,643.6723022460938,643.9780883789062,409.7431945800781,292.6828308105469,275.58392333984375,369.119140625,309.4482116699219,310.43414306640625,327.16180419921875,321.5272521972656
4,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,52908.37890625,2129.726318359375,871.4468994140625,474.39813232421875,378.8702697753906,398.8703918457031,419.1098937988281,422.4405212402344,435.8608093261719,380.757080078125,486.2937316894531,500.8948974609375,472.7135925292969
5,how much is a flight from washington to montreal,en_multilingual_blimp_correct_affected.test,52374.078125,4168.17138671875,1958.5289306640625,3159.522216796875,3347.82421875,2580.104248046875,3400.626220703125,2431.114013671875,3829.867919921875,4429.33056640625,4461.09130859375,5225.75537109375,4662.578125
6,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,52908.37890625,2129.726318359375,871.4468994140625,474.39813232421875,378.8702697753906,398.8703918457031,419.1098937988281,422.4405212402344,435.8608093261719,380.757080078125,486.2937316894531,500.8948974609375,472.7135925292969
7,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,59986.390625,821.793212890625,878.4899291992188,927.780517578125,844.4996337890625,839.3380737304688,813.6920166015625,860.412109375,854.7012329101562,733.3925170898438,1152.6170654296875,1038.3218994140625,2413.832275390625
8,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,64719.26171875,1072.8363037109375,817.9692993164062,383.8358154296875,399.293212890625,316.9937438964844,208.1079864501953,245.25592041015625,198.4293212890625,243.94493103027344,221.7685546875,188.2230224609375,191.40365600585938
9,how much is a flight from washington to boston,en_multilingual_blimp_correct_affected.test,46991.44921875,3502.428955078125,1762.0406494140625,2340.631103515625,2549.2353515625,2239.034423828125,2787.383056640625,2098.95068359375,2663.75146484375,3422.440673828125,3498.3662109375,4540.65673828125,3639.366943359375
10,But here is a mushroom that's past its prime.,en_multilingual_blimp_correct_affected.test,51544.4453125,832.8595581054688,667.9977416992188,392.7233581542969,279.8285827636719,231.62525939941406,265.3059997558594,225.61895751953125,418.9434509277344,361.53277587890625,523.6693725585938,465.8229064941406,424.94854736328125
11,"Yes, lovely creature, is n't she?",en_multilingual_blimp_correct_affected.test,45833.69140625,16680.716796875,70939.6171875,54871.02734375,37542.60546875,62819.41015625,73131.3984375,75980.6953125,67497.859375,175722.125,89416.03125,207422.625,165486.28125
12,how much is a flight from washington to montreal,en_multilingual_blimp_correct_affected.test,52374.03125,4168.17138671875,1958.5289306640625,3159.522216796875,3347.8212890625,2580.104248046875,3400.626220703125,2431.114013671875,3829.867919921875,4429.32666015625,4461.08251953125,5225.76025390625,4662.57373046875
13,"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",en_multilingual_blimp_correct_affected.test,59932.75390625,1255.76953125,3458.443359375,1945.7093505859375,2818.7568359375,3287.28564453125,3742.322998046875,2837.056640625,2773.2939453125,5012.416015625,3179.116943359375,3365.177001953125,5684.62890625
14,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",en_multilingual_blimp_correct_affected.test,54946.328125,1684.247802734375,2196.943359375,2384.0126953125,2425.03564453125,2198.2490234375,2190.184326171875,1478.637451171875,1510.674560546875,1347.2510986328125,1646.6417236328125,2199.853515625,2631.739990234375
15,how much is a flight from washington to boston,en_multilingual_blimp_correct_affected.test,46991.44921875,3502.428955078125,1762.0406494140625,2340.631103515625,2549.2353515625,2239.034423828125,2787.383056640625,2098.95068359375,2663.75146484375,3422.440673828125,3498.3662109375,4540.65673828125,3639.366943359375
16,"Tindi Kente is a wonderful dancer, wonderful, is n't she... just like a snake brought out by music, and sometimes he 'll try with her.",en_multilingual_blimp_correct_affected.test,46678.0390625,2396.492919921875,3759.410888671875,3393.73828125,2242.2236328125,2987.025146484375,2461.263671875,2438.316650390625,2098.2021484375,2125.96923828125,2883.26513671875,3822.824951171875,3747.9306640625
17,"For one thing, there is increasing concern, and that is undoubtedly true, on the part of experts too.",en_multilingual_blimp_correct_affected.test,59932.81640625,1255.76953125,3458.443359375,1945.7093505859375,2818.7568359375,3287.2919921875,3742.322998046875,2837.052734375,2773.2939453125,5012.416015625,3179.119873046875,3365.177001953125,5684.62890625
18,In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,en_multilingual_blimp_correct_affected.test,58004.453125,956.0440063476562,680.2571411132812,451.32830810546875,493.6673278808594,503.388671875,557.1555786132812,493.59130859375,509.5340576171875,509.3329162597656,733.9291381835938,774.4794921875,721.0452270507812
19,"Their minds are of the stay-at-home order, and their home is always with them – the ship; and so is their country – the sea.",en_multilingual_blimp_correct_affected.test,54946.328125,1684.2469482421875,2196.9443359375,2384.0126953125,2425.03564453125,2198.2490234375,2190.184326171875,1478.637451171875,1510.673828125,1347.2510986328125,1646.6417236328125,2199.8544921875,2631.737548828125
20,This is whale meat that I photographed in a grocery store in Tokyo - or is it?,en_multilingual_blimp_correct_affected.test,66199.96875,1424.9639892578125,852.1224365234375,643.6723022460938,643.9783935546875,409.7431945800781,292.6831359863281,275.58404541015625,369.119140625,309.4482116699219,310.43414306640625,327.16180419921875,321.5272521972656
21,But here is a mushroom that's past its prime.,en_multilingual_blimp_correct_affected.test,51544.49609375,832.8595581054688,667.9977416992188,392.7233581542969,279.8285827636719,231.62525939941406,265.3057861328125,225.6188507080078,418.9428405761719,361.532470703125,523.6693725585938,465.8229064941406,424.9491882324219
22,In the corner is a girl in a headscarf and jeans who looks so unassuming I think it’s another assistant.,en_multilingual_blimp_correct_affected.test,58004.453125,956.0440063476562,680.2571411132812,451.32830810546875,493.6673278808594,503.388671875,557.1555786132812,493.59130859375,509.5340576171875,509.3329162597656,733.9291381835938,774.4794921875,721.0452270507812
23,"You say I cook chicken, is n't it?",en_multilingual_blimp_correct_affected.test,48393.77734375,4831.58642578125,11630.8115234375,12032.4208984375,10795.599609375,8534.5419921875,10570.4697265625,11637.61328125,9756.4345703125,7873.6064453125,8784.296875,13230.8544921875,8238.439453125
