,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,kendi hatalarımı kendim yaptım bile diyemiyorum.,tr_multilingual_blimp_correct_affected.test,43618.01953125,3727.882568359375,2657.292724609375,780.2590942382812,599.9268188476562,438.38079833984375,605.549072265625,751.71728515625,1164.36181640625,647.307373046875,1152.4808349609375,2692.2314453125,2023.4442138671875
1,Çoğumuz bir sersem tanıyoruz.,tr_multilingual_blimp_correct_affected.test,32408.0390625,1727.162353515625,1127.6280517578125,544.3716430664062,401.0087585449219,413.9337158203125,692.1703491210938,421.5299987792969,617.3234252929688,535.1298217773438,434.0655212402344,823.384521484375,610.0266723632812
2,"Bu ikinci firar teşebbüsünden sonra, kendim de pişman oldum.",tr_multilingual_blimp_correct_affected.test,31664.251953125,2966.60498046875,557.8935546875,308.5339660644531,312.77899169921875,366.7340393066406,219.3370819091797,305.65118408203125,367.19842529296875,575.9750366210938,521.4404907226562,415.8919982910156,532.3591918945312
3,"Eleştirileri "" Ben Balzac okudum, "" diye cevaplıyor.",tr_multilingual_blimp_correct_affected.test,30069.966796875,1376.703369140625,698.21044921875,496.71331787109375,605.6527099609375,612.0928344726562,697.1465454101562,1098.004638671875,760.0137329101562,973.4254150390625,1122.0985107421875,872.1793823242188,666.1290283203125
4,"Biz, yolun üstünde, kasabanın çıkış yerinde boş bir handa otururduk.",tr_multilingual_blimp_correct_affected.test,34010.94921875,2040.794921875,905.502685546875,1159.0572509765625,895.5765991210938,683.1531982421875,742.2791748046875,627.2835083007812,797.5274047851562,1077.2232666015625,991.2579956054688,920.3058471679688,807.0811157226562
5,Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık.,tr_multilingual_blimp_correct_affected.test,37358.1015625,1998.02978515625,666.8965454101562,530.902099609375,507.73394775390625,465.3939514160156,373.2270202636719,373.4433288574219,293.7874450683594,275.7264099121094,272.0923767089844,254.16941833496094,217.71238708496094
6,Ben de kendimce sınamak istedim bunu.,tr_multilingual_blimp_correct_affected.test,41919.2890625,2866.433837890625,1498.7718505859375,1092.6260986328125,805.5316772460938,744.38037109375,493.7490234375,270.8437194824219,536.945068359375,631.2092895507812,713.6976318359375,1124.952880859375,897.6788330078125
7,"Ben kaçıyorum, abim de arkamdan koşuyor.",tr_multilingual_blimp_correct_affected.test,33998.10546875,1543.21142578125,306.0572204589844,235.01898193359375,179.54054260253906,168.6884002685547,141.23350524902344,143.4097442626953,138.42660522460938,173.7718963623047,196.0261993408203,137.86183166503906,201.74777221679688
8,"Ama ben, bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum.",tr_multilingual_blimp_correct_affected.test,31658.18359375,898.9904174804688,460.0607604980469,337.5393371582031,240.2996826171875,175.4270782470703,187.1007080078125,199.0851593017578,194.2014617919922,211.796142578125,205.61422729492188,252.5905303955078,259.9396667480469
9,"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.",tr_multilingual_blimp_correct_affected.test,37657.78515625,9489.560546875,2890.90283203125,2149.100830078125,1877.5107421875,1650.7626953125,1286.0279541015625,1667.2987060546875,1575.43408203125,1507.0684814453125,2368.875732421875,2287.336181640625,2078.2744140625
10,"Sevgili okurlar, hepimiz olmasak da bazılarımız kitap okumayı seven insanlarız.",tr_multilingual_blimp_correct_affected.test,26173.169921875,8735.0009765625,7642.20556640625,3288.746826171875,3044.161865234375,3214.867919921875,1671.6595458984375,2201.080078125,2241.685791015625,2458.38427734375,2244.58447265625,2803.358154296875,1963.262939453125
11,Ben aç yattım mı kötü kötü rüyalar görürüm nedense.,tr_multilingual_blimp_correct_affected.test,38771.18359375,3192.232421875,2452.67138671875,1737.9178466796875,1165.439453125,1014.4471435546875,920.8234252929688,1426.4384765625,2114.35498046875,1547.8514404296875,1909.41748046875,2577.695068359375,2663.949462890625
12,Merhaba dostum / Seni gökte ararken / Yerde buldum,tr_multilingual_blimp_correct_affected.test,23438.599609375,5952.19287109375,3430.29931640625,4003.7578125,4662.14208984375,4909.17578125,6187.0,7547.45361328125,7051.4638671875,10313.8837890625,20083.384765625,22437.048828125,18349.369140625
13,"Ben de el yordamıyla çıkacağım bu yolculukta, yanıma neler alacağımı şöyle kaydettim.",tr_multilingual_blimp_correct_affected.test,45350.9375,2942.386474609375,1165.69287109375,693.910888671875,522.833740234375,572.9186401367188,530.71728515625,465.47784423828125,439.4381408691406,472.948974609375,562.5654907226562,691.753662109375,693.2680053710938
14,Ben bu sarı kâğıtlardan o kadar bezmişimdir ki güzelim sarı rengi de ondan dolayı boykot ettim.,tr_multilingual_blimp_correct_affected.test,40774.50390625,3458.011474609375,2286.298095703125,1395.387939453125,1148.991455078125,876.0381469726562,961.9011840820312,1087.938232421875,892.8987426757812,1090.4453125,1050.1856689453125,1233.205322265625,1451.1370849609375
15,Pazartesi hepimiz işbaşı yapıyoruz.,tr_multilingual_blimp_correct_affected.test,28562.134765625,2330.978759765625,3831.292724609375,2168.648681640625,2120.565673828125,1369.08203125,875.6385498046875,951.34912109375,1188.1055908203125,1414.7772216796875,1701.4273681640625,2041.5775146484375,2010.635009765625
16,Biz çıkaramadık.,tr_multilingual_blimp_correct_affected.test,22360.298828125,6588.82275390625,8199.0302734375,8602.3486328125,8666.3388671875,5263.44287109375,3474.901123046875,13187.884765625,14736.8359375,22142.197265625,10582.9072265625,11859.2919921875,38830.57421875
17,-Hayır kendim yazıyorum.,tr_multilingual_blimp_correct_affected.test,34069.70703125,3971.464111328125,28748.234375,84570.578125,54920.765625,37771.15234375,19456.37109375,39620.5390625,68329.7890625,67622.53125,38696.67578125,57291.30078125,68358.53125
18,Hepimiz Mustafa Kemal'in askerlik dehasına inanırdık.,tr_multilingual_blimp_correct_affected.test,35652.7890625,5478.78564453125,1506.6258544921875,1057.2193603515625,527.9552001953125,461.6112976074219,587.7730102539062,513.4429931640625,454.4874267578125,378.5548095703125,311.61480712890625,529.94775390625,396.4062194824219
19,Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorduk.,tr_multilingual_blimp_correct_affected.test,30460.85546875,4348.46728515625,1775.4271240234375,1986.9869384765625,1943.073486328125,1545.4478759765625,1145.4298095703125,1204.203369140625,1244.72314453125,1561.759765625,1622.6109619140625,2180.23876953125,1583.558349609375
20,Biz de kadınlar onu sevdi diye sevdik.,tr_multilingual_blimp_correct_affected.test,43283.4140625,3044.71630859375,5337.12451171875,4527.38623046875,2778.533203125,2213.65283203125,1870.47802734375,2405.458251953125,2733.251220703125,3760.09912109375,4528.84619140625,4861.05517578125,5291.244140625
21,Hepimiz koleksiyoner olduk.,tr_multilingual_blimp_correct_affected.test,33493.84765625,7056.9130859375,37051.29296875,18342.3515625,18850.19140625,37485.65234375,28964.951171875,62090.5078125,62419.89453125,26340.8671875,82995.6796875,50024.4296875,93169.6015625
22,"Sanırım hepimiz burada geçici olarak yaşıyoruz, beklenen ama korkunç artçı şoku bekliyoruz.",tr_multilingual_blimp_correct_affected.test,32501.23046875,3087.712646484375,1911.3897705078125,1547.9835205078125,1257.96533203125,1165.3782958984375,1285.3414306640625,1393.8271484375,1154.60302734375,846.35888671875,1200.4962158203125,1012.8284912109375,1237.1373291015625
23,Hepimiz kıraathaneye gelen bu yabancıya dikkatle bakıyorduk.,tr_multilingual_blimp_correct_affected.test,40161.7734375,8065.31396484375,6956.828125,4917.08935546875,6409.92626953125,8183.39208984375,7315.69677734375,5851.98779296875,5862.109375,6132.7841796875,7553.94921875,10417.0859375,9745.77734375
24,"Ama önce, Ben buraya taşınıyorum artık, seninle birlikte yaşamaya karar verdim, diye söze başladım.",tr_multilingual_blimp_correct_affected.test,34475.125,3170.805419921875,3211.696044921875,3185.03759765625,2159.376220703125,1688.452392578125,1576.2642822265625,1954.0009765625,2187.851318359375,2976.39599609375,2059.947021484375,2946.494384765625,3518.15625
25,Karyolalarımızı kendimiz yapıyoruz.,tr_multilingual_blimp_correct_affected.test,32615.49609375,7788.6103515625,5679.98486328125,4000.181640625,5787.59033203125,4791.2626953125,1176.0826416015625,2742.383056640625,2653.681640625,1752.1214599609375,1147.899658203125,4693.8798828125,3237.52783203125
26,"Biz, kadın, kız ve çocuk, on altı kişilik bir kafile olduk.",tr_multilingual_blimp_correct_affected.test,31247.337890625,545.96435546875,416.2181396484375,324.6475524902344,282.5167541503906,208.37896728515625,213.48434448242188,278.6835632324219,351.3305969238281,339.2593994140625,351.58148193359375,404.13079833984375,596.6417846679688
27,`` Ben kim olursa olsun kazanan kişi için üzülüyorum '' diyor Brezilyalı diplomat.,tr_multilingual_blimp_correct_affected.test,34310.86328125,9072.25390625,2945.58837890625,1085.1732177734375,748.9600830078125,754.5895385742188,777.5596923828125,1036.2464599609375,989.5191650390625,1390.67236328125,2377.98828125,2506.666015625,2240.572265625
28,"Biz hâlâ evreni gezegenlerden ve yıldızlardan oluşan, yer çekimi denilen bir kuvvetin etkisiyle hareket eden bir düzen olarak görüyoruz.",tr_multilingual_blimp_correct_affected.test,37860.1953125,4121.1748046875,1124.838134765625,741.6360473632812,557.5792236328125,621.680908203125,644.4336547851562,687.4492797851562,470.7698669433594,491.9898986816406,406.0899353027344,554.380126953125,508.5953369140625
29,Ben anlamam.,tr_multilingual_blimp_correct_affected.test,55966.921875,10577.892578125,45188.21875,80351.390625,82511.4296875,58501.2734375,45744.12890625,124842.234375,196617.296875,94505.140625,90494.4609375,74976.484375,55129.77734375
30,Biz size farklı yönlere bakan pencereler açmaya çalışıyoruz.,tr_multilingual_blimp_correct_affected.test,28933.69921875,10795.33203125,1833.590576171875,1463.5579833984375,1775.2509765625,1867.2691650390625,1085.742919921875,1185.7794189453125,1000.9326782226562,672.7158203125,550.2799682617188,703.6077270507812,983.2655029296875
31,"Bay Miller bunu veto etti : `` Ben bile bütün dipnotları anlayamıyorum, '' dedi.",tr_multilingual_blimp_correct_affected.test,28677.259765625,5244.8427734375,4429.4912109375,1710.522705078125,1505.5120849609375,1624.9423828125,1768.23974609375,2013.58056640625,1813.88427734375,2837.89697265625,2872.70068359375,3390.923583984375,3478.53515625
32,Zaten galiba en küçük oğlun ölümcül bir hastalığı olduğuna hiçbirimiz inanmak istemiyorduk.,tr_multilingual_blimp_correct_affected.test,30460.85546875,4348.46728515625,1775.427978515625,1986.9840087890625,1943.072509765625,1545.4478759765625,1145.430419921875,1204.203369140625,1244.72314453125,1561.7613525390625,1622.6109619140625,2180.237548828125,1583.5576171875
33,-Ben bir şey yapmadım.,tr_multilingual_blimp_correct_affected.test,36307.01953125,615.9168090820312,927.596923828125,1031.459228515625,832.2743530273438,431.8307189941406,267.9913635253906,469.5943908691406,589.3744506835938,510.47784423828125,322.3978576660156,485.1119079589844,754.6766967773438
34,"Biz, yolun üstünde, kasabanın çıkış yerinde boş bir handa otururduk.",tr_multilingual_blimp_correct_affected.test,34010.94921875,2040.7960205078125,905.5022583007812,1159.0572509765625,895.577392578125,683.1524658203125,742.2791748046875,627.2832641601562,797.5285034179688,1077.2232666015625,991.2584838867188,920.3067626953125,807.080810546875
35,Pazartesi hepimiz işbaşı yapıyoruz.,tr_multilingual_blimp_correct_affected.test,28562.134765625,2330.978759765625,3831.292724609375,2168.648681640625,2120.567626953125,1369.08203125,875.6393432617188,951.3499755859375,1188.1055908203125,1414.7745361328125,1701.431396484375,2041.574462890625,2010.637939453125
36,"""Piyano ile anlat bakalım, bugün sokakta neler gördün?"" Ben de piyanoda ""arabalar gördüm"" derdim.",tr_multilingual_blimp_correct_affected.test,38507.30859375,5364.79296875,3231.229248046875,2733.01806640625,2549.149169921875,2368.4814453125,1858.4130859375,1969.8157958984375,2221.451171875,1761.736572265625,3130.4619140625,4664.47705078125,3681.85888671875
37,Biz bu binanın masrafını çekeriz.,tr_multilingual_blimp_correct_affected.test,37628.63671875,2757.904541015625,338.7239074707031,222.2303924560547,217.51087951660156,151.05772399902344,163.71099853515625,132.5303497314453,158.8042449951172,334.7310485839844,241.0758819580078,279.48602294921875,202.299560546875
38,Ben bu sözü biraz daha kısaltarak tekrar edeceğim.,tr_multilingual_blimp_correct_affected.test,31010.646484375,1405.471923828125,824.5517578125,633.9046630859375,540.6787109375,562.0584716796875,474.39697265625,487.90777587890625,425.16705322265625,422.526123046875,475.0527648925781,411.2300109863281,514.2493286132812
39,"Biz doğrudan satıyoruz! """,tr_multilingual_blimp_correct_affected.test,26699.724609375,1455.0782470703125,451.8442077636719,486.1653137207031,682.305419921875,910.0612182617188,752.6939086914062,779.4974975585938,748.166259765625,1028.1568603515625,791.3341674804688,664.23828125,1298.654052734375
40,Ben zor dikiş dikiyorum.,tr_multilingual_blimp_correct_affected.test,42728.0546875,5673.212890625,5972.69775390625,14200.91796875,18661.6796875,32410.666015625,15301.9794921875,14145.958984375,13933.8193359375,27615.865234375,9469.4365234375,27490.1328125,33497.87109375
